date,close,change%
2020-02-24,3225.889893,-0.974
2020-02-21,3337.75,-0.677
2020-02-20,3373.22998,-0.214
2020-02-19,3386.149902,0.17
2020-02-18,3370.290039,0.037
2020-02-14,3380.159912,0.062
2020-02-13,3373.939941,0.239
2020-02-12,3379.449951,0.266
2020-02-11,3357.75,-0.241
2020-02-10,3352.090088,1.019
2020-02-07,3327.709961,-0.235
2020-02-06,3345.780029,0.026
2020-02-05,3334.689941,0.294
2020-02-04,3297.590088,0.518
2020-02-03,3248.919922,0.41
2020-01-31,3225.52002,-1.731
2020-01-30,3283.659912,0.836
2020-01-29,3273.399902,-0.488
2020-01-28,3276.23999,0.642
2020-01-27,3243.629883,-0.109
2020-01-24,3295.469971,-1.129
2020-01-23,3325.540039,0.295
2020-01-22,3321.75,-0.248
2020-01-21,3320.790039,-0.007
2020-01-17,3329.620117,0.179
2020-01-16,3316.810059,0.419
2020-01-15,3289.290039,0.214
2020-01-14,3283.149902,-0.067
2020-01-13,3288.129883,0.52
2020-01-10,3265.350098,-0.502
2020-01-09,3274.699951,0.265
2020-01-08,3253.050049,0.446
2020-01-07,3237.179932,-0.144
2020-01-06,3246.280029,0.893
2020-01-03,3234.850098,0.263
2020-01-02,3257.850098,0.406
2019-12-31,3230.780029,0.485
2019-12-30,3221.290039,-0.58
2019-12-27,3240.02002,-0.222
2019-12-26,3239.909912,0.394
2019-12-24,3223.379883,-0.064
2019-12-23,3224.01001,-0.063
2019-12-20,3221.219971,-0.065
2019-12-19,3205.370117,0.409
2019-12-18,3191.139893,-0.127
2019-12-17,3192.52002,-0.09
2019-12-16,3191.449951,0.246
2019-12-13,3168.800049,0.068
2019-12-12,3168.570068,0.87
2019-12-11,3141.629883,0.188
2019-12-10,3132.52002,-0.091
2019-12-09,3135.959961,-0.188
2019-12-06,3145.909912,0.36
2019-12-05,3117.429932,-0.057
2019-12-04,3112.76001,0.298
2019-12-03,3093.199951,0.188
2019-12-02,3113.870117,-0.954
2019-11-29,3140.97998,-0.197
2019-11-27,3153.629883,0.259
2019-11-26,3140.52002,0.181
2019-11-25,3133.639893,0.52
2019-11-22,3110.290039,-0.036
2019-11-21,3103.540039,-0.159
2019-11-20,3108.459961,-0.199
2019-11-19,3120.179932,-0.232
