date,BTC,LTC,XRP,ETH,BCN,sp500_close,change%,silver_close,silver_rate%,gold_close,gold_rate%
2018-01-04,15599.2002,241.369995,3.19663,980.921997,0.006948,2723.98999,0.172,17.269,-0.000925658,1321.6,-0.000529381
2018-01-03,15201,245.367996,3.10537,962.719971,0.006408,2713.060059,0.564,17.267,-0.000115814,1318.5,-0.002345642
2018-01-02,14982.09961,255.684006,2.4809,884.44397,0.00639,2695.810059,0.45,17.206,-0.00353275,1316.1,-0.00182025
2017-12-29,14656.2002,245.501999,2.2146,753.59198,0.006262,2673.610107,-0.578,17.145,-0.003545275,1309.3,-0.005166781
2017-12-28,14606.5,249.929993,1.43088,737.02301,0.005729,2687.540039,0.054,16.923,-0.012948381,1297.2,-0.009241579
2017-12-27,15838.5,272.174011,1.39964,762.84198,0.006221,2682.620117,0.019,16.756,-0.009868227,1291.4,-0.004471169
2017-12-26,16099.79981,286.503998,1.18949,773.835999,0.006586,2680.5,0.053,16.604,-0.009071377,1287.5,-0.003019978
2017-12-22,13831.79981,264.932007,1.13828,674.859985,0.004793,2683.340088,-0.033,16.444,-0.009636232,1278.8,-0.006757282
2017-12-21,15802.90039,317.462006,1.19306,821.062988,0.00611,2684.570068,0.058,16.239,-0.012466553,1270.6,-0.006412261
2017-12-20,16624.59961,314.621002,0.775964,819.085999,0.005124,2679.25,-0.332,16.275,0.002216885,1269.6,-0.00078703
2017-12-19,17776.69922,350.252991,0.791257,826.822998,0.004586,2681.469971,-0.417,16.153,-0.00749616,1264.2,-0.004253308
2017-12-18,19114.19922,358.335999,0.778407,794.64502,0.004792,2690.159912,0.158,16.205,0.003219216,1265.5,0.001028318
2017-12-15,17706.90039,299.778992,0.756181,684.447998,0.00287,2675.810059,0.571,16.063,-0.008762728,1257.5,-0.006321612
2017-12-14,16564,279.328003,0.864263,695.815979,0.0028,2652.01001,-0.52,15.934,-0.008030878,1257.1,-0.000318091
2017-12-13,16408.19922,302.60199,0.471063,702.767029,0.002573,2662.850098,-0.178,15.869,-0.004079327,1248.6,-0.006761594
2017-12-12,17415.40039,316.158997,0.373541,651.43103,0.00274,2664.110107,0.089,15.668,-0.012666205,1241.7,-0.005526189
2017-12-11,16936.80078,214.203003,0.251691,515.135986,0.002573,2659.98999,0.294,15.785,0.00746745,1246.9,0.004187807
